filename,width,height,class,xmin,ymin,xmax,ymax
train_157731992111.jpg,300,300,stop sign,27,165,84,293
train_157732087812.jpg,300,300,stop sign,53,155,80,211
train_157732087823.jpg,300,300,stop sign,112,159,139,218
train_15773230117.jpg,300,300,stop sign,183,100,212,159
train_157732168285.jpg,300,300,stop sign,64,163,99,237
train_15773229771.jpg,300,300,stop sign,242,97,273,158
train_15773202426.jpg,300,300,stop sign,58,173,121,300
train_157732087817.jpg,300,300,stop sign,74,164,98,213
train_157732024220.jpg,300,300,stop sign,53,166,100,258
train_157732301126.jpg,300,300,stop sign,166,112,192,165
train_157732087830.jpg,300,300,stop sign,16,171,61,264
train_157732168254.jpg,300,300,stop sign,114,163,149,235
train_1.jpg,300,300,stop sign,122,160,169,253
train_157732371622.jpg,300,300,stop sign,165,96,191,146
train_157732168275.jpg,300,300,stop sign,82,161,110,220
train_157732301116.jpg,300,300,stop sign,179,102,207,161
train_157732371632.jpg,300,300,stop sign,112,215,137,265
train_157732371615.jpg,300,300,stop sign,203,201,231,256
train_157732087810.jpg,300,300,stop sign,45,156,87,243
train_15773206715.jpg,300,300,stop sign,131,160,174,255
train_157732087833.jpg,300,300,stop sign,17,168,56,246
train_157732067110.jpg,300,300,stop sign,165,160,222,279
train_157732301123.jpg,300,300,stop sign,214,105,241,160
train_157732024233.jpg,300,300,stop sign,202,161,228,212
train_157732168227.jpg,300,300,stop sign,112,166,149,247
train_157732301131.jpg,300,300,stop sign,185,103,206,149
train_157732301135.jpg,300,300,stop sign,166,98,190,147
train_157732024217.jpg,300,300,stop sign,54,166,97,257
train_157732087829.jpg,300,300,stop sign,1,173,34,250
train_157732301134.jpg,300,300,stop sign,168,99,197,159
train_157732024216.jpg,300,300,stop sign,44,163,89,256
train_157732168267.jpg,300,300,stop sign,101,155,139,231
train_15773230119.jpg,300,300,stop sign,180,100,208,158
train_157732168274.jpg,300,300,stop sign,196,154,227,215
train_157732087831.jpg,300,300,stop sign,19,169,63,260
train_157732168211.jpg,300,300,stop sign,84,167,119,240
train_157732168281.jpg,300,300,stop sign,33,166,55,219
train_157732301121.jpg,300,300,stop sign,188,103,213,162
train_15773216827.jpg,300,300,stop sign,86,161,113,224
train_157732087813.jpg,300,300,stop sign,121,159,163,245
train_157732371628.jpg,300,300,stop sign,169,76,205,156
train_157732168273.jpg,300,300,stop sign,101,156,134,225
train_157732168289.jpg,300,300,stop sign,114,162,143,225
train_157732024219.jpg,300,300,stop sign,53,165,98,258
train_157732371623.jpg,300,300,stop sign,234,93,260,151
train_157731992115.jpg,300,300,stop sign,100,170,159,300
train_157732087824.jpg,300,300,stop sign,109,159,137,219
train_157732168269.jpg,300,300,stop sign,76,160,95,202
train_157732168231.jpg,300,300,stop sign,156,159,196,240
train_157732087818.jpg,300,300,stop sign,90,162,123,229
train_157732087827.jpg,300,300,stop sign,113,158,146,228
train_5.jpg,300,300,stop sign,167,161,245,300
train_157732301117.jpg,300,300,stop sign,219,101,245,157
train_15773237162.jpg,300,300,stop sign,218,101,247,162
train_157732024215.jpg,300,300,stop sign,45,162,88,254
train_157732087819.jpg,300,300,stop sign,84,164,119,230
train_157732371634.jpg,300,300,stop sign,154,216,179,268
train_157732301122.jpg,300,300,stop sign,201,106,227,163
train_157732168272.jpg,300,300,stop sign,101,158,128,210
train_15773235601.jpg,300,300,stop sign,208,97,244,172
train_157732168276.jpg,300,300,stop sign,144,158,174,222
train_157732024211.jpg,300,300,stop sign,11,173,59,276
train_157732168265.jpg,300,300,stop sign,120,162,151,224
train_157732168233.jpg,300,300,stop sign,100,162,138,241
train_157732371612.jpg,300,300,stop sign,141,80,172,149
train_157732168259.jpg,300,300,stop sign,130,160,168,236
train_157732168229.jpg,300,300,stop sign,111,163,150,244
train_157732087821.jpg,300,300,stop sign,57,164,85,221
train_15773237167.jpg,300,300,stop sign,172,84,203,148
train_15773230111.jpg,300,300,stop sign,241,98,272,157
train_157732301132.jpg,300,300,stop sign,150,103,171,150
train_157732168290.jpg,300,300,stop sign,59,166,83,215
train_157732301127.jpg,300,300,stop sign,173,103,197,157
train_157732168277.jpg,300,300,stop sign,134,157,162,221
train_15773230116.jpg,300,300,stop sign,180,100,201,142
train_157732371616.jpg,300,300,stop sign,173,87,203,152
train_157732168215.jpg,300,300,stop sign,72,171,101,231
train_157732371635.jpg,300,300,stop sign,155,205,176,249
train_157732371620.jpg,300,300,stop sign,204,106,236,170
train_157732301129.jpg,300,300,stop sign,190,101,212,146
train_157732371619.jpg,300,300,stop sign,245,81,271,137
train_15773230115.jpg,300,300,stop sign,198,99,221,149
train_157732301112.jpg,300,300,stop sign,190,98,225,175
train_15773237168.jpg,300,300,stop sign,171,84,200,148
train_157732168225.jpg,300,300,stop sign,73,161,113,249
train_157732371617.jpg,300,300,stop sign,269,76,300,150
train_157732371614.jpg,300,300,stop sign,162,115,189,170
train_157732168292.jpg,300,300,stop sign,58,164,82,210
train_15773230118.jpg,300,300,stop sign,225,98,258,159
train_157732168271.jpg,300,300,stop sign,174,156,202,208
train_157732024232.jpg,300,300,stop sign,201,162,227,212
train_157732168282.jpg,300,300,stop sign,70,164,96,217
train_157732168291.jpg,300,300,stop sign,58,164,81,212
train_15773199214.jpg,300,300,stop sign,32,174,99,300
train_157732301114.jpg,300,300,stop sign,202,103,234,171
train_15773237169.jpg,300,300,stop sign,209,79,239,146
train_157732371624.jpg,300,300,stop sign,232,93,261,149
train_157732087816.jpg,300,300,stop sign,57,160,91,230
train_157732168264.jpg,300,300,stop sign,111,162,138,221
train_15773206714.jpg,300,300,stop sign,176,158,221,255
train_157732024229.jpg,300,300,stop sign,147,164,178,223
train_157732371625.jpg,300,300,stop sign,198,94,228,158
train_157732024222.jpg,300,300,stop sign,1,168,55,299
train_157732168266.jpg,300,300,stop sign,123,156,154,220
train_15773230113.jpg,300,300,stop sign,259,95,300,166
train_157732301125.jpg,300,300,stop sign,159,103,185,159
train_157732371618.jpg,300,300,stop sign,251,80,280,139
train_157732067112.jpg,300,300,stop sign,80,168,164,300
train_157732024218.jpg,300,300,stop sign,54,166,98,260
train_157732168284.jpg,300,300,stop sign,153,160,184,220
train_157732024221.jpg,300,300,stop sign,100,159,157,273
train_157732168283.jpg,300,300,stop sign,74,165,95,214
train_157731992117.jpg,300,300,stop sign,111,164,162,279
train_157732024234.jpg,300,300,stop sign,134,163,167,228
train_157732087822.jpg,300,300,stop sign,64,162,91,219
train_157732168278.jpg,300,300,stop sign,92,160,119,218
train_157732168226.jpg,300,300,stop sign,82,162,122,240
train_15773202421.jpg,300,300,stop sign,31,165,89,287
train_157732168210.jpg,300,300,stop sign,192,164,239,259
train_157732168212.jpg,300,300,stop sign,85,167,118,241
train_157732371637.jpg,300,300,stop sign,130,192,150,232
train_15773216826.jpg,300,300,stop sign,88,161,126,241
train_15773237161.jpg,300,300,stop sign,161,102,190,156
train_157732371626.jpg,300,300,stop sign,255,92,284,155
train_15773202425.jpg,300,300,stop sign,183,167,252,300
train_157732024236.jpg,300,300,stop sign,178,158,224,253
train_15773206712.jpg,300,300,stop sign,142,160,187,258
train_157732168224.jpg,300,300,stop sign,50,164,92,249
train_157732168262.jpg,300,300,stop sign,143,153,177,225
train_157732168293.jpg,300,300,stop sign,63,165,85,210
train_157732024213.jpg,300,300,stop sign,100,170,149,281
train_157732168252.jpg,300,300,stop sign,220,160,260,234
train_15773230112.jpg,300,300,stop sign,250,94,288,175
train_15773216828.jpg,300,300,stop sign,70,163,103,229
train_15773237166.jpg,300,300,stop sign,176,83,206,145
train_15773230114.jpg,300,300,stop sign,264,95,300,172
train_157732024210.jpg,300,300,stop sign,38,166,75,241
train_157732301119.jpg,300,300,stop sign,118,105,143,157
train_157732301113.jpg,300,300,stop sign,188,101,234,196
train_157732024235.jpg,300,300,stop sign,164,158,208,246
train_2.jpg,300,300,stop sign,188,155,224,227
train_157732371629.jpg,300,300,stop sign,178,89,209,154
train_15773206711.jpg,300,300,stop sign,58,162,103,253
train_157732168258.jpg,300,300,stop sign,74,162,114,250
train_15773199216.jpg,300,300,stop sign,29,163,84,289
train_157732168256.jpg,300,300,stop sign,80,164,114,241
train_157732087825.jpg,300,300,stop sign,112,159,138,217
train_15773227733.jpg,300,300,stop sign,227,100,263,175
train_157732087820.jpg,300,300,stop sign,57,164,85,221
train_157732024214.jpg,300,300,stop sign,68,170,100,237
train_15773216829.jpg,300,300,stop sign,152,162,191,238
train_15773227732.jpg,300,300,stop sign,209,102,233,144
train_157732168230.jpg,300,300,stop sign,187,161,233,255
train_157732301120.jpg,300,300,stop sign,158,104,184,158
train_157732168221.jpg,300,300,stop sign,56,165,99,259
train_157732301133.jpg,300,300,stop sign,162,100,192,161
train_4.jpg,300,300,stop sign,165,164,221,273
train_157732087814.jpg,300,300,stop sign,47,163,83,241
train_157732087815.jpg,300,300,stop sign,54,163,85,226
train_157732168255.jpg,300,300,stop sign,226,155,264,236
train_15773216825.jpg,300,300,stop sign,128,158,165,236
train_157732371621.jpg,300,300,stop sign,235,93,277,179
train_157732301128.jpg,300,300,stop sign,171,101,192,149
train_157732301111.jpg,300,300,stop sign,190,101,223,170
